station_id,station_name_jp,station_name_en
1120803,陸中門崎,Rikuchuukannzaki
1120804,岩ノ下,Iwanoshita
1120805,陸中松川,Rikuchuumatsukawa
1120806,猊鼻渓,Geibikei
1120807,柴宿,Shibajuku
1120808,摺沢,Surisawa
1120809,千厩,Sennmaya
1120810,小梨,Konashi
1120811,矢越,Yagoshi
1120812,折壁,Orikabe
1120813,新月,Niitsuki
1120814,気仙沼,Kesennnuma
1120815,鹿折唐桑,Shishiorikarakuwa
1120816,上鹿折,Kamishishiori
1120817,陸前矢作,Rikuzennyahagi
1120818,竹駒,Takekoma
1120819,陸前高田,Rikuzenntakata
1120820,脇ノ沢,Wakinosawa
1120821,小友,Otomo
1120822,細浦,Hosoura
1120823,下船渡,Shimofunato
1120824,大船渡,Oofunato
1120825,盛,Sakari
1120901,花巻,Hanamaki
1120902,似内,Nitanai
1120903,新花巻,Shinhanamaki
1120904,小山田,Oyamada
1120905,土沢,Tsuchizawa
1120906,晴山,Haruyama
1120907,岩根橋,Iwanebashi
1120908,宮守,Miyamori
1120909,柏木平,Kashiwagidaira
1120910,鱒沢,Masuzawa
1120911,荒谷前,Arayamae
1120912,岩手二日町,Iwatefutsukamachi
1120913,綾織,Ayaori
1120914,遠野,Toono
1120915,青笹,Aozasa
1120916,岩手上郷,Iwatekamigou
1120917,平倉,Hirakura
1120918,足ケ瀬,Ashigase
1120919,上有住,Kamiarisu
1120920,陸中大橋,Rikuchuuoohashi
1120921,洞泉,Dousenn
